id,key,value,step,created_at
78,total_travel_distance (m),959770.9740077815,90001,2025-10-11 10:55:24.054234
79,num_completed_trips,71.0,93601,2025-10-11 11:00:13.856622
80,total_travel_time (sec),109631.0,93601,2025-10-11 11:00:13.856624
81,total_travel_distance (m),999667.560918867,93601,2025-10-11 11:00:13.856624
82,num_completed_trips,75.0,97201,2025-10-11 11:05:39.045738
83,total_travel_time (sec),117414.0,97201,2025-10-11 11:05:39.045743
84,total_travel_distance (m),1085240.2529295578,97201,2025-10-11 11:05:39.045743
85,num_completed_trips,80.0,100801,2025-10-11 11:11:08.343873
86,total_travel_time (sec),121830.0,100801,2025-10-11 11:11:08.343875
87,total_travel_distance (m),1131482.4753242354,100801,2025-10-11 11:11:08.343876
88,num_completed_trips,81.0,104401,2025-10-11 11:15:49.776191
89,total_travel_time (sec),123787.0,104401,2025-10-11 11:15:49.776193
90,total_travel_distance (m),1149037.9850185807,104401,2025-10-11 11:15:49.776194
91,num_completed_trips,85.0,108001,2025-10-11 11:20:13.801257
92,total_travel_time (sec),129005.0,108001,2025-10-11 11:20:13.801258
93,total_travel_distance (m),1203952.439928399,108001,2025-10-11 11:20:13.801259
94,num_completed_trips,88.0,111601,2025-10-11 11:25:13.780486
95,total_travel_time (sec),132083.0,111601,2025-10-11 11:25:13.780488
96,total_travel_distance (m),1235813.0947062762,111601,2025-10-11 11:25:13.780489
97,num_completed_trips,88.0,115201,2025-10-11 11:35:40.357486
98,total_travel_time (sec),135674.0,115201,2025-10-11 11:35:40.357489
99,total_travel_distance (m),1280441.42961541,115201,2025-10-11 11:35:40.357490
100,num_completed_trips,91.0,118801,2025-10-11 11:40:13.302900
101,total_travel_time (sec),141095.0,118801,2025-10-11 11:40:13.302901
102,total_travel_distance (m),1336135.8431610519,118801,2025-10-11 11:40:13.302902
103,num_completed_trips,93.0,122401,2025-10-11 11:44:26.276050
104,total_travel_time (sec),142068.0,122401,2025-10-11 11:44:26.276052
105,total_travel_distance (m),1347267.991629793,122401,2025-10-11 11:44:26.276052
106,num_completed_trips,97.0,126001,2025-10-11 11:49:39.791472
107,total_travel_time (sec),148753.0,126001,2025-10-11 11:49:39.791475
108,total_travel_distance (m),1421484.2044100591,126001,2025-10-11 11:49:39.791476
109,num_completed_trips,101.0,129601,2025-10-11 11:54:05.007798
110,total_travel_time (sec),152326.0,129601,2025-10-11 11:54:05.007799
111,total_travel_distance (m),1457460.252990684,129601,2025-10-11 11:54:05.007800
112,num_completed_trips,107.0,133201,2025-10-11 11:58:45.743047
113,total_travel_time (sec),161494.0,133201,2025-10-11 11:58:45.743049
114,total_travel_distance (m),1560940.9371216376,133201,2025-10-11 11:58:45.743050
115,num_completed_trips,114.0,136801,2025-10-11 12:04:02.896404
116,total_travel_time (sec),168785.0,136801,2025-10-11 12:04:02.896408
117,total_travel_distance (m),1633079.9027818758,136801,2025-10-11 12:04:02.896408
118,num_completed_trips,119.0,140401,2025-10-11 12:08:20.558239
119,total_travel_time (sec),176473.0,140401,2025-10-11 12:08:20.558241
120,total_travel_distance (m),1717628.1512886067,140401,2025-10-11 12:08:20.558241
121,num_completed_trips,125.0,144001,2025-10-11 12:14:08.909202
122,total_travel_time (sec),186630.0,144001,2025-10-11 12:14:08.909204
123,total_travel_distance (m),1807178.1608732496,144001,2025-10-11 12:14:08.909205
124,num_completed_trips,130.0,147601,2025-10-11 12:19:04.665652
125,total_travel_time (sec),194218.0,147601,2025-10-11 12:19:04.665655
126,total_travel_distance (m),1894158.034089038,147601,2025-10-11 12:19:04.665655
