id,key,value,step,created_at
78,total_travel_distance (m),1037480.8327881678,90001,2025-10-11 12:44:56.780380
79,num_completed_trips,72.0,93601,2025-10-11 12:48:41.142136
80,total_travel_time (sec),99947.0,93601,2025-10-11 12:48:41.142139
81,total_travel_distance (m),1073526.4324514545,93601,2025-10-11 12:48:41.142140
82,num_completed_trips,73.0,97201,2025-10-11 12:51:50.071297
83,total_travel_time (sec),100931.0,97201,2025-10-11 12:51:50.071299
84,total_travel_distance (m),1078951.835301917,97201,2025-10-11 12:51:50.071300
85,num_completed_trips,75.0,100801,2025-10-11 12:55:17.005690
86,total_travel_time (sec),103229.0,100801,2025-10-11 12:55:17.005692
87,total_travel_distance (m),1097820.0530664953,100801,2025-10-11 12:55:17.005693
88,num_completed_trips,76.0,104401,2025-10-11 12:59:25.673935
89,total_travel_time (sec),105920.0,104401,2025-10-11 12:59:25.673937
90,total_travel_distance (m),1123133.146113614,104401,2025-10-11 12:59:25.673938
91,num_completed_trips,78.0,108001,2025-10-11 13:03:24.980568
92,total_travel_time (sec),108521.0,108001,2025-10-11 13:03:24.980569
93,total_travel_distance (m),1146668.3436706169,108001,2025-10-11 13:03:24.980570
94,num_completed_trips,81.0,111601,2025-10-11 13:08:52.883477
95,total_travel_time (sec),115411.0,111601,2025-10-11 13:08:52.883480
96,total_travel_distance (m),1221454.8180332943,111601,2025-10-11 13:08:52.883480
97,num_completed_trips,85.0,115201,2025-10-11 13:15:15.932413
98,total_travel_time (sec),121480.0,115201,2025-10-11 13:15:15.932415
99,total_travel_distance (m),1277856.4382516015,115201,2025-10-11 13:15:15.932416
100,num_completed_trips,89.0,118801,2025-10-11 13:20:32.548688
101,total_travel_time (sec),125829.0,118801,2025-10-11 13:20:32.548690
102,total_travel_distance (m),1319473.2066402659,118801,2025-10-11 13:20:32.548690
103,num_completed_trips,92.0,122401,2025-10-11 13:25:55.793624
104,total_travel_time (sec),132430.0,122401,2025-10-11 13:25:55.793625
105,total_travel_distance (m),1384625.7495632,122401,2025-10-11 13:25:55.793626
106,num_completed_trips,98.0,126001,2025-10-11 13:30:02.349377
107,total_travel_time (sec),141808.0,126001,2025-10-11 13:30:02.349380
108,total_travel_distance (m),1459563.599583432,126001,2025-10-11 13:30:02.349381
109,num_completed_trips,101.0,129601,2025-10-11 13:34:43.601901
110,total_travel_time (sec),148452.0,129601,2025-10-11 13:34:43.601902
111,total_travel_distance (m),1514653.7615996192,129601,2025-10-11 13:34:43.601903
112,num_completed_trips,107.0,133201,2025-10-11 13:39:46.516013
113,total_travel_time (sec),157653.0,133201,2025-10-11 13:39:46.516015
114,total_travel_distance (m),1607596.0056616275,133201,2025-10-11 13:39:46.516016
115,num_completed_trips,119.0,136801,2025-10-11 13:44:31.296079
116,total_travel_time (sec),174463.0,136801,2025-10-11 13:44:31.296081
117,total_travel_distance (m),1773298.8896511206,136801,2025-10-11 13:44:31.296081
118,num_completed_trips,125.0,140401,2025-10-11 13:50:06.207581
119,total_travel_time (sec),179367.0,140401,2025-10-11 13:50:06.207583
120,total_travel_distance (m),1807499.2671495285,140401,2025-10-11 13:50:06.207583
121,num_completed_trips,129.0,144001,2025-10-11 13:57:29.231094
122,total_travel_time (sec),182909.0,144001,2025-10-11 13:57:29.231096
123,total_travel_distance (m),1832418.4080253185,144001,2025-10-11 13:57:29.231096
124,num_completed_trips,132.0,147601,2025-10-11 14:03:31.116930
125,total_travel_time (sec),187968.0,147601,2025-10-11 14:03:31.116934
126,total_travel_distance (m),1879755.9565834678,147601,2025-10-11 14:03:31.116935
